Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
Branimir Hrgota,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,
Danny  Vieira da Costa,1,16,32,21,3,8,8,1,7,3,0,5,2,0,1,1,0,1,0,0,1,1,0,0,0,0,1,3,2,,,,,,,,,,,,,
Taleb Tawatha,1,8,6,11,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
Yunus Mall,1,18,32,31,10,7,4,1,7,0,0,3,2,2,2,4,1,0,0,0,1,1,0,0,0,0,1,2,4,,,,,,,,,,,,,
Ermin Bicakcic,0,6,5,9,1,7,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,
Lukas Rupp,0,13,18,30,9,7,2,3,4,2,2,2,1,0,1,0,1,0,0,2,0,1,0,0,1,0,1,2,1,,,,,,,,,,,,,
Sandro Wagner,1,8,18,7,1,3,2,1,11,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,3,3,,,,,,,,,,,,,
Pavel Kaderabek,1,28,30,19,6,14,6,0,5,2,0,9,4,0,3,3,2,1,2,0,1,0,0,0,0,0,6,2,2,,,,,,,,,,,,,
Florian Grillitsch,1,35,28,40,1,19,2,4,19,6,0,0,3,0,3,2,1,1,1,0,0,4,0,0,0,0,3,6,1,,,,,,,,,,,,,
Andre Ramalho Silva,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Stefan Kieling,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Laszlo Benes,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rani Khedira,1,45,25,24,5,20,10,2,16,2,0,6,2,0,2,0,0,1,1,0,1,3,0,0,0,0,2,3,2,,,,,,,,,,,,,
Marcel Heller,1,9,15,10,6,2,0,0,4,0,0,5,2,0,1,3,2,0,1,0,0,1,0,0,0,0,0,2,1,,,,,,,,,,,,,
Salif Sane,1,81,21,50,9,30,16,6,19,2,2,6,2,0,3,0,3,0,2,1,2,0,0,0,0,0,3,2,0,,,,,,,,,,,,,
Marvin Bakalorz,1,21,31,33,2,14,2,2,7,0,0,4,1,0,3,2,1,0,0,0,0,2,0,0,0,0,2,0,1,,,,,,,,,,,,,
Guido Burgstaller,1,16,18,20,0,12,2,0,5,2,0,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,1,6,7,,,,,,,,,,,,,
Jonathas Cristian de Jesus,0,8,10,4,1,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,,,,,,,,,,,,,
Sebastian Maier,0,9,8,1,1,2,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Timo Baumgartl,1,52,33,24,3,23,10,2,13,3,0,1,1,0,3,0,1,0,1,0,0,2,0,0,0,0,3,0,0,,,,,,,,,,,,,
Berkay Ozcan,1,8,10,20,4,7,2,1,9,1,2,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,,,,,,,,
Javier Martinez Aginaga,1,39,19,22,6,21,2,1,23,2,2,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,3,2,1,,,,,,,,,,,,,
Nico Schulz,1,25,41,25,5,15,6,2,17,3,0,5,1,0,0,1,1,2,2,0,0,0,1,0,0,1,3,1,1,,,,,,,,,,,,,
James David Rodriguez Rubio,1,23,43,38,6,12,10,4,24,3,2,5,2,0,0,1,4,0,2,2,0,2,1,0,0,0,2,6,4,,,,,,,,,,,,,
Valentin Stocker,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
Vincent Sierro,0,2,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yoric Ravet,1,4,11,6,1,0,0,1,3,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Amir Abrashi,1,14,9,21,1,6,2,3,4,1,0,2,2,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Caglar Soyuncu,1,53,16,30,6,22,2,6,11,1,6,1,3,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lukas Kubler,1,19,18,16,1,6,2,1,8,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,
Marcel Schmelzer,1,22,25,21,1,14,6,3,8,1,0,1,2,0,2,0,4,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,
Andriy Yarmolenko,1,7,11,7,6,2,0,0,1,0,2,1,0,0,0,8,2,0,1,0,0,0,0,0,0,0,1,3,2,,,,,,,,,,,,,
Carlos Joel Salcedo Hernandez,1,34,22,17,7,10,14,3,11,0,0,2,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,3,0,,,,,,,,,,,,,
Ante Rebic,1,11,40,12,8,1,0,2,2,0,2,1,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0,8,4,,,,,,,,,,,,,
Julio Cesar Villalba Gaona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Benjamin Stambouli,1,37,41,34,2,19,2,3,25,2,4,4,1,2,1,0,1,1,0,0,1,4,0,0,0,0,4,1,0,,,,,,,,,,,,,
Andreas Beck,1,23,30,28,5,13,6,5,11,2,0,5,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,
Santiago Lionel Ascacibar,1,48,21,30,5,26,6,2,22,1,4,1,1,0,2,1,1,0,5,4,1,0,0,0,0,0,2,0,1,,,,,,,,,,,,,
Simon Zoller,1,6,19,4,2,3,2,2,2,0,0,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Marco Hoger,1,32,29,33,4,15,4,1,18,2,2,2,1,0,1,1,1,0,1,0,0,2,0,0,0,0,1,1,1,,,,,,,,,,,,,
Daniel Tawiah Opare,1,21,22,8,2,3,2,0,4,1,2,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,
Jorge Mere Perez,1,40,9,20,3,17,4,5,12,2,0,0,3,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Jan Moravek,0,14,11,11,2,10,4,2,4,1,0,0,2,0,0,1,2,0,1,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,,
Bernardo Fernandes da Silva Junior,1,30,24,10,3,10,2,5,7,2,0,4,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Lewis Harry Holtby,1,15,17,20,2,8,2,0,7,2,2,4,2,2,3,1,2,0,0,0,0,1,0,0,0,0,2,3,3,,,,,,,,,,,,,
Sven Schipplock,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gotoku Sakai,1,28,46,32,8,17,14,4,12,4,0,4,3,0,0,2,0,1,1,0,0,2,0,0,0,0,2,2,2,,,,,,,,,,,,,
Leon-Aderemi Balogun,1,11,7,13,4,6,2,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,
Suat Serdar,1,20,23,28,3,8,8,3,14,2,0,1,2,0,2,3,0,1,1,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,
Joel Pohjanpalo,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
Manuel Schmiedebach,0,2,6,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
William de Asevedo Furtado,1,22,42,26,4,7,2,2,6,1,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Ihlas Bebou,1,16,29,17,8,4,2,0,12,2,0,2,1,4,0,1,4,0,1,0,0,1,0,0,1,0,1,10,6,,,,,,,,,,,,,
Jerome Boateng,1,31,26,36,4,18,6,6,16,1,0,2,2,0,2,1,3,0,1,0,1,1,0,0,0,0,2,1,0,,,,,,,,,,,,,
Jean-Philippe Gbamin,1,49,29,36,10,16,14,5,21,0,0,1,0,0,2,1,2,0,3,0,2,1,1,0,0,0,5,4,0,,,,,,,,,,,,,
Julian Weigl,1,36,18,32,7,13,2,8,21,2,4,2,2,0,6,0,1,0,3,0,1,1,0,0,0,0,4,1,0,,,,,,,,,,,,,
Fabian Lustenberger,1,36,18,23,1,15,10,7,13,2,0,3,2,0,1,1,2,0,1,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,
Peter Pekarik,1,21,20,22,6,4,12,2,9,1,0,2,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,2,1,,,,,,,,,,,,,
Ondrej Duda,1,9,12,17,4,11,10,2,2,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,,
Ishak Belfodil,1,9,18,15,2,2,4,1,7,0,0,1,0,0,0,2,5,0,0,0,1,0,0,0,0,0,2,4,3,,,,,,,,,,,,,
Izet Hajrovic,0,2,3,5,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,
Breel-Donald Embolo,1,9,12,10,4,3,0,0,4,0,0,1,0,0,1,2,1,0,2,0,0,1,0,0,0,0,3,1,3,,,,,,,,,,,,,
Luka Jovic,1,4,13,9,3,2,2,0,7,1,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,6,,,,,,,,,,,,,
Panagiotis Retsos,1,49,16,24,7,13,8,3,9,4,0,1,2,0,1,0,1,0,1,0,0,2,0,0,0,0,2,1,1,,,,,,,,,,,,,
Kai Havertz,1,23,29,44,7,14,10,0,19,4,2,2,3,0,1,6,4,0,1,0,0,0,1,2,0,0,5,3,2,,,,,,,,,,,,,
Lars Bender,1,31,19,19,8,12,4,3,6,1,2,3,4,0,1,2,0,0,2,0,0,0,0,0,0,1,2,2,3,,,,,,,,,,,,,
Ryan Kent,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Bartosz Kapustka,0,2,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Julian Baumgartlinger,1,52,10,30,7,16,10,4,15,2,0,1,3,0,2,1,1,0,1,2,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Douglas dos Santos Justino de Melo,1,52,48,38,6,26,10,6,23,2,2,6,4,2,1,0,2,0,1,0,0,1,0,0,0,0,5,1,1,,,,,,,,,,,,,
Bakery Jatta,1,3,3,3,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Sejad Salihovic,1,7,11,13,0,1,0,0,5,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Torles Knoll,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Dominik Maroh,1,16,10,12,5,12,0,1,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Marius Wolf,1,20,36,26,12,13,10,1,13,2,0,1,3,2,0,4,3,0,0,0,0,0,0,0,0,0,6,1,6,,,,,,,,,,,,,
Tobias Sippel,0,2,5,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mickael Cuisance,1,17,25,17,2,6,2,2,13,3,0,0,1,2,1,0,0,0,2,0,0,1,1,0,0,0,0,4,0,,,,,,,,,,,,,
Dzenis Burnic,0,2,3,6,1,2,2,0,3,0,2,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,
Benno Schmitz,0,1,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Marvin Compper,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yvon Landry  Mvogo,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jairo Samperio Bustara,0,4,6,5,0,1,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Luca Caldirola,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gian-Luca Itter,1,5,7,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Fabian Johnson,0,2,12,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Niklas Moisander,1,39,30,36,7,25,14,6,22,4,2,5,1,0,3,0,2,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Lucas Nicolas Alario,0,11,15,18,0,6,2,0,5,2,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,3,,,,,,,,,,,,,
Salih Ozcan,1,25,16,38,4,8,2,1,21,3,4,4,3,2,1,3,5,0,2,0,0,1,0,0,0,0,3,3,2,,,,,,,,,,,,,
Gojko Kacar,0,3,0,2,1,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ibrahima Konate,1,18,10,19,0,5,16,3,10,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Claudio Miguel Pizarro Bossio,1,1,10,6,1,6,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,2,,,,,,,,,,,,,
Tim-Henry Handwerker,0,3,8,3,0,1,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Robin Hack,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Philipp Ochs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Raul Marcelo Bobadilla,0,2,2,4,3,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,,,,
Marc Stendera,1,9,8,5,1,4,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Daniel Ginczek,1,11,12,15,6,6,0,0,8,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,5,,,,,,,,,,,,,
Slobodan Medojevic,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ebenezer Ofori,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Marco Russ,1,24,9,17,2,13,0,2,8,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Vasilije Janjicic,0,7,4,4,1,3,0,0,5,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tatsuya Ito,0,6,13,15,5,2,0,1,4,3,4,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,3,2,,,,,,,,,,,,,
Ulisses Alexandre Garcia Lopes,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Zlatko Junuzovic,1,14,28,23,9,4,10,3,7,1,2,5,3,0,3,5,3,3,1,0,0,2,0,0,0,0,2,4,3,,,,,,,,,,,,,
Victor James Osimhen,0,1,5,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Karim Onisiwo,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Stefan Posch,1,13,7,8,1,11,0,3,6,3,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Kevin Danso,1,20,14,17,2,8,2,5,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Davie Selke,0,8,27,13,3,4,0,1,5,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,2,4,,,,,,,,,,,,,
Valentino Lazaro,1,16,27,20,10,12,6,0,5,1,2,6,1,0,1,2,3,2,0,0,0,0,0,0,0,2,3,5,2,,,,,,,,,,,,,
Alessandro Schopf,1,12,11,14,4,4,2,1,4,0,0,3,3,2,0,1,0,1,2,0,0,0,0,0,1,0,2,1,1,,,,,,,,,,,,,
Aymen Barkok,1,3,4,6,2,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Emiliano Adrian Insua Zapata,1,22,30,18,7,11,6,0,8,2,6,3,2,0,1,1,3,0,0,0,0,2,0,0,0,0,3,5,1,,,,,,,,,,,,,
Pawe Olkowski,1,3,8,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Arne Maier,1,19,15,18,4,10,6,3,11,1,6,3,3,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,,,,,,,,,,,,,
Robin Koch,1,31,22,24,3,24,12,4,18,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jorge Andujar Moreno,1,23,23,16,5,10,4,3,7,2,2,3,1,0,0,1,3,0,0,0,0,1,0,0,0,1,3,1,3,,,,,,,,,,,,,
Iver Fossum,1,13,17,23,8,20,8,2,10,1,0,0,2,0,1,0,2,0,1,0,0,2,0,0,1,0,3,2,3,,,,,,,,,,,,,
Kevin Akpoguma,1,33,18,25,1,14,4,8,20,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0,,,,,,,,,,,,,
Tony Jantschke,1,8,19,10,0,6,2,3,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Vincenzo Grifo,1,7,15,12,3,2,2,1,3,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,2,3,,,,,,,,,,,,,
John Anthony Brooks,1,6,7,12,1,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Robin Zentner,1,13,10,7,4,2,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Danny Blum,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oliver Sorg,1,30,30,23,2,14,0,2,4,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,,
Raphael Adelino Jose Guerreiro,1,7,12,10,1,3,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,
Andre Schurrle,1,9,17,13,3,6,0,1,9,1,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,,,
Anto Grgic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jadon Sancho,0,4,14,7,4,6,0,0,2,1,0,0,3,0,2,4,2,0,0,0,0,0,0,0,1,0,2,3,1,,,,,,,,,,,,,
Caleb Stanko,1,8,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Dong-Won Ji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jann-Fiete Arp,1,5,7,7,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,
Juan Bernat Velasco,1,13,2,8,1,4,8,3,4,2,4,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Maximilian Mittelstadt,1,8,9,6,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
Josip Drmic,0,5,9,3,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Miiko Martin Albornoz Inola,1,15,14,10,1,5,6,2,5,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Michael Esser,0,1,2,2,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gerrit Holtmann,1,9,16,9,5,5,2,0,0,3,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,1,5,,,,,,,,,,,,,
Karim Guede,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Roman Weidenfeller,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yann Aurel Bisseck,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Anas Ouahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Nikolas Nartey,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alexander Hack,1,33,14,14,3,10,4,2,7,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,,,,,,,,,,,,,
Emil Berggreen,0,5,10,3,0,1,0,0,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,3,,,,,,,,,,,,,
Marco Friedl,1,5,7,12,2,7,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,,,,,,,,,,,,,
Kwasi Okyere Wriedt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tom Starke,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Noah-Joel Sarenren-Bazee,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jordan Torunarigha,1,9,14,7,2,9,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Reece Oxford,1,10,5,6,0,2,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Ole Kauper,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jeffrey  Bruma,1,24,7,15,2,12,6,2,6,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Birk Risa,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Chris Fuhrich,0,0,0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alexander Isak,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Renato Steffen,0,8,5,7,0,3,4,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Marko Pjaca,0,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Aron Johannsson,0,3,3,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,
Omar Mascarell Gonzalez,1,18,12,17,1,3,0,4,6,2,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,
Manuel Gulde,1,36,18,21,3,15,8,2,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,
Lucas Holer,1,6,17,11,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,
Mohamed Drager,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Julian Pollersbeck,1,5,12,19,1,1,10,0,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Nigel de Jong,1,13,13,16,3,8,0,0,5,2,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Thomas Kraft,0,1,3,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rafa Gikiewicz,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Anthony Ujah,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,
Josip Elez,1,13,10,22,2,10,2,2,9,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sebastian Jung,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
